taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources,SE_simple
4339,Animalia,Chordata,Chondrichthyes,Rajiformes,Rajidae,Dipturus,Trygonorrhina fasciata,NA,2,1,0.5,-,1,1,0.5,1,0,0,0,-,2,1,2,1,0.707106781
4061,Animalia,Chordata,Aves,Passeriformes,Thraupidae,Tangara,Tangara cayana,NA,6,0,0,-,0,0,0,NA,0,0,NA,-,6,0,6,2,0.40824829
18,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Selene,Selene vomer,Lookdown,30,0,0,-,0,0,0,NA,0,0,NA,-,30,0,30,5,0.182574186
3393,Animalia,Chordata,Reptilia,Testudines,Podocnemididae,Podocnemis,Podocnemis unifilis,NA,5,0,0,-,0,0,0,NA,0,0,NA,-,5,0,5,3,0.447213595
19352,Animalia,Nymphalidae,Morphinae,Morphini,Morphina,Morpho,Morpho peleides,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,1,0.577350269
463,Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
547,Animalia,Chordata,Reptilia,Squamata,Boidae,Aspidites,Aspidites melanocephalus,Black-headed python,13,1,0.076923077,-,1,1,0.076923077,1,0,0,0,-,13,1,13,6,0.277350098
3105,Animalia,Chordata,Reptilia,Squamata,Viperidae,Ovophis,Ovophis tonkinensis,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
2215,Animalia,Chordata,Mammalia,Rodentia,Bathyergidae,Heterocephalus,Heterocephalus glaber,Naked Mole Rat,145,2,0.013793103,-,7,1,0.006896552,0.714285714,1,0.006896552,0.285714286,-,150,7,145,12,0.08304548
4202,Animalia,Chordata,Aves,Passeriformes,Mimidae,Toxostoma,Toxostoma curvirostre,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,2,0.707106781
4219,Animalia,Chordata,Reptilia,Squamata,Scincidae,Trachylepis,Trachylepis striata,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
3310,Animalia,Chordata,Aves,Passeriformes,Picathartidae,Picathartes,Picathartes gymnocephalus,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
3279,Animalia,Chordata,Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus,Phoenicopterus roseus,American Flamingo,18,2,0.111111111,-,2,2,0.111111111,1,0,0,0,-,18,2,18,4,0.23570226
3455,Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Potos,Potos flavus,Kinkajou,5,1,0.2,-,1,1,0.2,1,0,0,0,-,5,1,5,5,0.447213595
3193,Animalia,Chordata,Aves,Galliformes,Cracidae,Pauxi,Pauxi unicornis,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
2090,Animalia,Chordata,Aves,Passeriformes,Corvidae,Gymnorhinus,Gymnorhinus cyanocephalus,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,1,0.577350269
19556,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,NA,NA,4,0,0,-,0,0,0,NA,0,0,NA,-,4,0,4,1,0.5
1750,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Embiotoca,Embiotoca jacksoni,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,1,0.577350269
899,Animalia,Chordata,Mammalia,Primates,Callitrichidae,Callithrix,Callithrix penicillata,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,2,0.707106781
4390,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus columbianus,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,2,0.707106781
1408,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,NA,12,0,0,-,1,0,0,0,0,0,1,-,13,1,12,6,0.288675135
709,Animalia,Chordata,Amphibia,Caudata,Plethodontidae,Bolitoglossa,Bolitoglossa copia,NA,3,0,0,-,0,0,0,NA,0,0,NA,-,3,0,3,1,0.577350269
3259,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pheucticus,Pheucticus chrysogaster,NA,1,0,0,-,0,0,0,NA,0,0,NA,-,1,0,1,1,1
19642,Animalia,Euchelicerata,Arachnida,Araneae,Theraphosidae,Lasiodora,Lasiodora parahybana,Brazilian Bird-eating Spider,6,0,0,-,0,0,0,NA,0,0,NA,-,6,0,6,1,0.40824829
2998,Animalia,Chordata,Actinopterygii,Anguilliformes,Ophichthidae,Myrichthys,Notechis scutatus,NA,2,0,0,-,0,0,0,NA,0,0,NA,-,2,0,2,1,0.707106781
